Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Слуга народу,гроші партії,2019-07-01,268,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,2000000
Слуга народу,гроші партії,2019-07-01,264,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"8261796,36"
Слуга народу,гроші партії,2019-07-03,271,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,37000000
Слуга народу,гроші партії,2019-07-05,272,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,28000000
Слуга народу,гроші партії,2019-07-10,277,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,7000000
Слуга народу,гроші партії,2019-07-10,276,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,15200000
Слуга народу,гроші партії,2019-07-11,279,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"2075,99"
Слуга народу,гроші партії,2019-07-11,278,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"392428,02"
Слуга народу,гроші партії,2019-07-12,286,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"149600,00"
Слуга народу,гроші партії,2019-07-12,285,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"5659992,00"
Слуга народу,гроші партії,2019-07-15,287,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"121768,00"
Слуга народу,гроші партії,2019-07-16,290,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"303580,00"
Слуга народу,гроші партії,2019-07-17,291,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"1000000,00"
Слуга народу,гроші партії,2019-07-17,292,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"9512520,45"
Слуга народу,гроші партії,2019-07-18,294,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"32108,00"
Слуга народу,гроші партії,2019-07-19,295,Політична партія “Слуга народу”,"м. Київ, вул. Січових стрільців, буд. 77, оф. 728",40422142,"17004,00"
