Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Опозиційна платформа - За життя,гроші партії,2019-06-21,480,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,"2719320,29"
Опозиційна платформа - За життя,гроші партії,2019-06-24,1,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,1499900
Опозиційна платформа - За життя,гроші партії,2019-06-25,2,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,1500000
Опозиційна платформа - За життя,гроші партії,2019-06-26,5,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,494000
Опозиційна платформа - За життя,гроші партії,2019-06-27,6,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,216700
Опозиційна платформа - За життя,гроші партії,2019-06-27,14,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,569000
Опозиційна платформа - За життя,гроші партії,2019-06-27,17,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,1500000
Опозиційна платформа - За життя,гроші партії,2019-06-27,18,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,12800000
Опозиційна платформа - За життя,гроші партії,2019-06-27,19,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,2000000
Опозиційна платформа - За життя,гроші партії,2019-06-27,20,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,2600000
Опозиційна платформа - За життя,гроші партії,2019-07-01,21,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,120000
Опозиційна платформа - За життя,гроші партії,2019-07-01,22,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,41730
Опозиційна платформа - За життя,гроші партії,2019-07-04,26,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,1600000
Опозиційна платформа - За життя,гроші партії,2019-07-04,27,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,4800000
Опозиційна платформа - За життя,гроші партії,2019-07-04,28,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,3200000
Опозиційна платформа - За життя,гроші партії,2019-07-05,29,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,3200000
Опозиційна платформа - За життя,гроші партії,2019-07-08,30,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,41730
Опозиційна платформа - За життя,гроші партії,2019-07-08,31,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,41730
Опозиційна платформа - За життя,гроші партії,2019-07-10,33,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,6000
Опозиційна платформа - За життя,гроші партії,2019-07-10,34,Центральний офіс ЗА ЖИТТЯ!,"м. Київ, вул. Москворецька, буд. 13",21709375,97200
