Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-10,1765,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,500000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-10,1803,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,1500000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-10,1783,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,2000000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-10,1792,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,6000000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-11,1826,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,100000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-11,1830,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,300000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-11,1832,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,10000000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-12,1845,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,500000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-12,1849,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,10000000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-15,1860,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,50000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-15,1865,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,4300000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-16,1883,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,2000000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-16,1898,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,5000000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-17,1954,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,100000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-17,1939,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,2200000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-17,1927,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,7100000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-18,1960,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,150000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-18,1963,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,8400000
"Всеукраїнське обʼєднання ""Батьківщина""",гроші партії,2019-07-19,1979,"Центральний офіс Всеукраїнське об'єднання ""Батьківщина""","м. Київ, вул. Турівська, буд. 15",20069956,"1974693,3"
