Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-15,406,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,2600000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-15,407,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,13000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-15,408,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,1698000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-15,410,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,1071000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-15,411,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,343500
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-16,412,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,326500
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-16,413,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,149000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-17,414,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,160000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-17,415,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,100000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-17,416,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,100000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-17,417,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,528500
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-17,418,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,209000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-18,420,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,60000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-18,421,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,28800
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-18,422,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,8000
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-18,425,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,"6522,68"
"Всеукраїнське обʼєднання ""Свобода""",гроші партії,2019-07-19,426,"Центральний офіс Всеукраїнське обʼєднання ""Свобода""","м. Київ, вул. Вишняківська, буд. 6А, кв. 70",00013215,7500
