Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Радикальна партія Олега Ляшка,гроші партії,2019-06-24,1296,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,1000000
Радикальна партія Олега Ляшка,гроші партії,2019-06-24,1309,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,13000000
Радикальна партія Олега Ляшка,гроші партії,2019-06-24,1310,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,17000000
Радикальна партія Олега Ляшка,гроші партії,2019-06-24,1301,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,5000000
Радикальна партія Олега Ляшка,гроші партії,2019-06-27,1321,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,5000000
Радикальна партія Олега Ляшка,гроші партії,2019-06-27,1322,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,3500000
Радикальна партія Олега Ляшка,гроші партії,2019-07-03,1337,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,15000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-04,1338,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,5000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-04,1339,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,5000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-05,1355,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,2000000
Радикальна партія Олега Ляшка,гроші партії,2019-04-05,1354,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,1700000
Радикальна партія Олега Ляшка,гроші партії,2019-04-05,1368,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,4000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-10,1384,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,14000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-10,1385,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,5000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-10,1386,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,2000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-12,1392,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,1000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-12,1394,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,1000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-16,1408,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,1000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-16,1414,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,400000
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1418,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,1428500
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1419,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,2000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1420,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,2000000
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1421,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,"854654,64"
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1422,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,31182
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1423,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,585175
Радикальна партія Олега Ляшка,гроші партії,2019-07-17,1424,Центральний офіс Радикальна партія Олега Ляшка,"м. Київ, вул. Богдана Хмельницького, буд. 50Б",37279703,3296024
