Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Європейська Солідарність,гроші партії,2019-06-26,413,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,5000000
Європейська Солідарність,гроші партії,2019-06-27,414,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,4100000
Європейська Солідарність,гроші партії,2019-06-27,415,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,30000
Європейська Солідарність,гроші партії,2019-07-01,416,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,1000000
Європейська Солідарність,гроші партії,2019-07-01,418,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,10000
Європейська Солідарність,гроші партії,2019-07-01,417,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,200000
Європейська Солідарність,гроші партії,2019-07-01,419,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,1700000
Європейська Солідарність,гроші партії,2019-07-01,420,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,30000
Європейська Солідарність,гроші партії,2019-07-02,421,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,1700000
Європейська Солідарність,гроші партії,2019-07-02,422,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,"3392821,41"
Європейська Солідарність,гроші партії,2019-07-03,1,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,3650000
Європейська Солідарність,гроші партії,2019-07-03,2,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,1996000
Європейська Солідарність,гроші партії,2019-07-04,3,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,1100000
Європейська Солідарність,гроші партії,2019-07-04,4,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,7622700
Європейська Солідарність,гроші партії,2019-07-04,5,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,100000
Європейська Солідарність,гроші партії,2019-07-05,6,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,200000
Європейська Солідарність,гроші партії,2019-07-05,9,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,100000
Європейська Солідарність,гроші партії,2019-07-05,10,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,100000
Європейська Солідарність,гроші партії,2019-07-08,11,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,5000000
Європейська Солідарність,гроші партії,2019-07-08,12,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,240000
Європейська Солідарність,гроші партії,2019-07-08,13,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,"545611,99"
Європейська Солідарність,гроші партії,2019-07-08,14,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,3649200
Європейська Солідарність,гроші партії,2019-07-10,16,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,5600000
Європейська Солідарність,гроші партії,2019-07-10,17,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,200000
Європейська Солідарність,гроші партії,2019-07-11,29,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,500000
Європейська Солідарність,гроші партії,2019-07-11,30,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,3000000
Європейська Солідарність,гроші партії,2019-07-12,31,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,10000000
Європейська Солідарність,гроші партії,2019-07-12,34,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,3000000
Європейська Солідарність,гроші партії,2019-07-15,35,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,5232955
Європейська Солідарність,гроші партії,2019-07-15,36,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,297000
Європейська Солідарність,гроші партії,2019-07-15,37,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,900000
Європейська Солідарність,гроші партії,2019-07-16,38,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,5000000
Європейська Солідарність,гроші партії,2019-07-17,41,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,3569102
Європейська Солідарність,гроші партії,2019-07-17,42,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,14000000
Європейська Солідарність,гроші партії,2019-07-18,43,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,1129444
Європейська Солідарність,гроші партії,2019-07-18,45,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,340000
Європейська Солідарність,гроші партії,2019-07-18,46,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,"1328478,6"
Європейська Солідарність,гроші партії,2019-07-18,47,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,800000
Європейська Солідарність,гроші партії,2019-07-19,48,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,2287900
Європейська Солідарність,гроші партії,2019-07-19,49,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,"842132,81"
Європейська Солідарність,гроші партії,2019-07-19,52,Центральний офіс Блок Петра Порошенка “Солідарність”,"м. Київ, вул. Електриків, буд. 29А",21715714,781
